date,campaign_id,impressions,clicks,leads,purchases,revenue,cost
2025-08-25,C001,3614,35,2,0,0.0,32.41
2025-08-26,C001,6318,72,6,0,0.0,72.21
2025-08-27,C001,9293,128,9,1,46.82,106.47
2025-08-28,C001,5135,76,6,0,0.0,77.54
2025-10-28,C002,5934,91,7,0,0.0,88.72
2025-10-29,C002,6793,70,6,0,0.0,68.92
2025-10-30,C002,3751,49,3,0,0.0,41.07
2025-10-31,C002,7072,127,8,1,80.49,100.72
2025-11-01,C002,6554,83,7,1,38.06,82.91
2025-11-02,C002,10656,132,9,1,68.0,131.02
2025-11-03,C002,6922,78,6,0,0.0,68.12
2025-11-04,C002,7699,112,8,1,53.8,106.74
2025-11-05,C002,6854,104,7,0,0.0,88.52
2025-11-06,C002,7827,159,11,1,55.34,146.73
2025-11-07,C002,5677,87,7,0,0.0,99.62
2025-11-08,C002,8681,118,10,1,60.94,107.72
2025-11-09,C002,10948,199,13,1,62.77,172.62
2025-11-10,C002,10879,143,8,1,48.35,131.2
2025-11-11,C002,4789,47,4,0,0.0,48.15
2025-11-12,C002,7138,76,6,0,0.0,75.23
2025-11-13,C002,8484,136,11,1,52.85,123.57
2025-11-14,C002,9594,170,12,1,62.71,157.53
2025-11-15,C002,4959,59,4,0,0.0,50.92
2025-11-16,C002,12401,165,11,1,71.38,141.45
2025-11-17,C002,8873,119,10,1,67.28,101.35
2025-11-18,C002,8375,91,5,0,0.0,77.61
2025-11-19,C002,11250,92,5,0,0.0,89.87
2025-11-20,C002,7089,79,6,0,0.0,73.64
2025-11-21,C002,9659,154,13,1,32.48,160.96
2025-11-22,C002,8745,81,6,0,0.0,80.92
2025-11-23,C002,7504,105,8,0,0.0,117.56
2025-11-24,C002,7578,122,10,1,73.75,123.26
2025-11-25,C002,10664,158,9,1,52.44,130.89
2025-11-26,C002,14265,248,20,3,177.43,240.38
2025-11-27,C002,7827,110,7,0,0.0,123.28
2025-11-28,C002,8973,131,10,1,46.23,122.57
2025-11-29,C002,5779,88,7,0,0.0,91.92
2025-11-30,C002,12675,178,12,1,63.07,175.51
2025-12-01,C002,11261,153,9,1,61.56,142.41
2025-12-02,C002,7466,95,6,0,0.0,92.45
2025-12-03,C002,5532,70,6,0,0.0,54.12
2025-12-04,C002,7374,101,9,0,0.0,110.93
2025-12-05,C002,5618,67,4,0,0.0,75.34
2025-12-06,C002,11373,160,16,2,121.09,157.56
2025-12-07,C002,13242,161,14,1,53.22,166.85
2025-12-08,C002,7256,101,8,1,36.14,102.35
2025-12-09,C002,3790,52,4,0,0.0,42.77
2025-12-10,C002,5303,73,6,0,0.0,69.79
2025-12-11,C002,2568,35,2,0,0.0,34.0
2025-12-12,C002,5065,55,3,0,0.0,50.0
2025-12-13,C002,2870,34,2,0,0.0,31.29
2025-12-14,C002,6464,76,6,0,0.0,72.94
2025-12-15,C002,7977,99,10,1,43.93,94.71
2025-06-15,C003,5885,132,8,0,0.0,103.1
2025-06-16,C003,9646,252,10,0,0.0,178.5
2025-06-17,C003,6587,185,10,1,42.91,130.48
2025-06-18,C003,8280,210,15,1,50.31,130.08
2025-06-19,C003,9178,222,13,1,49.42,174.05
2025-06-20,C003,7207,160,5,0,0.0,92.7
2025-06-21,C003,10444,173,9,1,40.64,148.26
2025-06-22,C003,9862,267,16,1,44.01,186.23
2025-06-23,C003,6181,112,7,0,0.0,77.57
2025-06-24,C003,9418,162,8,0,0.0,97.33
2025-06-25,C003,9447,143,8,0,0.0,106.43
2025-06-26,C003,7318,145,8,0,0.0,119.71
2025-06-27,C003,9271,207,13,1,46.18,156.84
2025-06-28,C003,7801,151,9,0,0.0,112.78
2025-06-29,C003,10930,245,11,1,40.49,143.12
2025-06-30,C003,5569,118,6,0,0.0,85.41
2025-07-01,C003,9787,228,9,0,0.0,160.18
2025-07-02,C003,10863,276,17,1,49.37,183.0
2025-07-03,C003,10848,204,13,1,36.41,156.71
2025-07-04,C003,9807,177,9,0,0.0,112.06
2025-07-05,C003,7514,151,9,1,32.6,121.26
2025-07-06,C003,11595,248,15,1,58.09,165.68
2025-07-07,C003,8612,178,8,0,0.0,123.64
2025-07-08,C003,6291,126,5,0,0.0,99.83
2025-07-09,C003,9980,263,16,1,48.89,185.24
2025-07-10,C003,7817,122,5,0,0.0,80.31
2025-07-11,C003,10075,218,11,1,59.21,160.15
2025-07-12,C003,13869,350,22,2,99.35,218.12
2025-07-13,C003,6785,122,8,0,0.0,83.08
2025-07-14,C003,6486,138,8,0,0.0,100.0
2025-07-15,C003,7684,161,8,0,0.0,109.66
2025-07-16,C003,9125,183,7,0,0.0,119.31
2025-07-17,C003,8467,219,13,1,44.2,153.36
2025-07-18,C003,3877,52,2,0,0.0,38.12
2025-07-19,C003,9977,248,15,1,47.45,163.85
2025-07-20,C003,9137,191,13,0,0.0,117.83
2025-07-21,C003,6274,96,4,0,0.0,79.31
2025-07-22,C003,5934,98,4,0,0.0,68.02
2025-07-23,C003,4411,95,6,0,0.0,72.18
2025-07-24,C003,6853,143,6,0,0.0,106.24
2025-07-25,C003,8678,215,12,1,62.4,180.01
2025-07-26,C003,4762,126,6,0,0.0,91.91
2025-07-27,C003,5861,108,5,0,0.0,77.85
2025-07-28,C003,5838,118,6,0,0.0,67.64
2025-07-29,C003,3022,78,4,0,0.0,58.87
2025-09-13,C004,8330,131,9,1,65.68,117.61
2025-09-14,C004,5136,73,6,0,0.0,73.31
2025-09-15,C004,10858,186,12,2,105.47,195.16
2025-09-16,C004,6702,63,4,0,0.0,68.93
2025-09-17,C004,7241,88,6,0,0.0,98.14
2025-09-18,C004,8817,125,11,1,58.42,117.38
2025-09-19,C004,7929,123,10,1,76.1,112.47
2025-09-20,C004,7790,109,7,1,63.29,101.29
2025-09-21,C004,4760,42,3,0,0.0,34.61
2025-09-22,C004,11555,185,15,1,54.34,138.33
2025-09-23,C004,9756,97,6,0,0.0,92.64
2025-09-24,C004,6819,108,8,0,0.0,115.25
2025-09-25,C004,4862,53,4,0,0.0,53.2
2025-09-26,C004,9319,139,8,1,50.03,124.65
2025-09-27,C004,5740,83,7,1,40.25,77.87
2025-09-28,C004,5531,62,5,0,0.0,69.85
2025-09-29,C004,10088,210,16,1,64.05,208.26
2025-09-30,C004,5808,115,9,1,69.81,108.06
2025-10-01,C004,9217,99,8,1,64.5,90.51
2025-10-02,C004,7115,95,7,1,38.55,98.03
2025-10-03,C004,8845,98,9,1,70.32,79.0
2025-10-04,C004,11880,118,9,1,65.56,114.09
2025-10-05,C004,13945,238,10,1,57.06,186.49
2025-10-06,C004,11455,129,10,1,51.07,140.66
2025-10-07,C004,9097,84,8,1,56.85,84.39
2025-10-08,C004,9432,124,9,1,52.15,125.98
2025-10-09,C004,10600,148,12,1,85.31,118.55
2025-10-10,C004,13727,162,17,2,140.92,154.33
2025-10-11,C004,9564,143,13,1,48.24,147.05
2025-10-12,C004,13333,211,16,1,48.76,167.67
2025-10-13,C004,8957,115,5,0,0.0,101.99
2025-10-14,C004,6047,106,8,1,86.44,115.97
2025-10-15,C004,7143,94,8,1,54.34,102.4
2025-10-16,C004,13197,187,18,2,140.73,164.78
2025-10-17,C004,8443,139,11,1,42.95,113.2
2025-10-18,C004,7766,130,10,0,0.0,121.49
2025-10-19,C004,7634,99,9,1,65.65,95.13
2025-10-20,C004,10059,120,10,1,62.87,116.04
2025-10-21,C004,7387,91,6,0,0.0,89.24
2025-10-22,C004,8008,88,6,0,0.0,86.36
2025-10-23,C004,8534,74,5,0,0.0,70.78
2025-10-24,C004,9998,89,5,0,0.0,95.64
2025-10-25,C004,4425,47,2,0,0.0,42.75
2025-10-26,C004,12560,170,9,1,65.55,166.5
2025-10-27,C004,5892,112,7,1,39.09,96.5
2025-10-28,C004,8036,129,10,1,75.09,119.65
2025-10-29,C004,4520,69,5,0,0.0,61.74
2025-10-30,C004,4470,55,3,0,0.0,51.49
2025-10-31,C004,6835,81,5,0,0.0,68.0
2025-11-01,C004,9432,94,7,0,0.0,89.18
2025-11-02,C004,4410,62,5,0,0.0,65.91
2025-11-03,C004,7361,90,7,0,0.0,93.56
2025-11-04,C004,5094,53,3,0,0.0,52.25
2025-11-05,C004,7268,106,10,1,58.35,112.11
2025-11-06,C004,4722,62,5,0,0.0,57.62
2025-11-07,C004,6306,84,6,0,0.0,84.05
2025-11-08,C004,5326,78,5,0,0.0,79.75
2025-11-09,C004,8186,137,7,1,63.43,144.18
2025-11-10,C004,3979,57,4,0,0.0,44.59
2025-05-31,C005,9266,312,34,8,306.17,347.18
2025-06-01,C005,7058,241,39,8,509.81,308.87
2025-06-02,C005,9857,321,43,7,558.25,347.18
2025-06-03,C005,8703,435,50,10,1006.15,347.18
2025-06-04,C005,7655,268,39,7,508.75,303.98
2025-06-05,C005,9136,306,32,8,635.16,347.18
2025-06-06,C005,5066,144,18,4,258.14,206.85
2025-06-07,C005,9652,329,52,10,507.27,347.18
2025-06-08,C005,6461,242,31,9,434.54,333.35
2025-06-09,C005,6706,240,21,4,408.65,309.31
2025-06-10,C005,11605,394,50,7,584.41,347.18
2025-06-11,C005,8150,255,32,7,379.34,347.18
2025-06-12,C005,6077,286,46,10,600.8,347.18
2025-06-13,C005,8579,295,41,8,421.27,347.18
2025-06-14,C005,6914,233,28,6,409.49,347.18
2025-06-15,C005,6509,255,31,6,471.87,327.32
2025-06-16,C005,6792,211,26,5,451.34,302.76
2025-06-17,C005,13640,388,54,9,562.42,347.18
2025-06-18,C005,4537,154,17,4,241.67,266.31
2025-06-19,C005,6457,173,30,7,548.76,202.1
2025-06-20,C005,4779,211,33,7,265.59,256.84
2025-06-21,C005,9904,415,44,10,890.3,347.18
2025-06-22,C005,7171,237,23,4,276.62,315.21
2025-10-28,C006,5986,208,31,6,407.62,266.07
2025-10-29,C006,6326,221,31,7,315.69,239.46
2025-10-30,C006,7761,279,36,8,702.42,266.07
2025-10-31,C006,3611,143,23,5,304.91,206.06
2025-11-01,C006,13762,405,54,13,973.05,266.07
2025-11-02,C006,11048,392,56,11,1054.66,266.07
2025-11-03,C006,7625,309,33,5,219.21,266.07
2025-11-04,C006,6546,256,32,7,486.99,266.07
2025-11-05,C006,7472,253,40,9,479.92,266.07
2025-11-06,C006,10148,420,61,13,921.78,266.07
2025-11-07,C006,8929,361,46,9,506.91,266.07
2025-11-08,C006,9520,441,74,12,1016.73,266.07
2025-11-09,C006,10025,224,32,5,384.77,255.19
2025-11-10,C006,11637,349,40,5,350.29,266.07
2025-11-11,C006,7661,246,28,5,449.28,266.07
2025-11-12,C006,9307,257,36,8,536.37,266.07
2025-11-13,C006,8103,311,24,6,173.37,266.07
2025-11-14,C006,7963,205,23,5,227.81,266.07
2025-11-15,C006,6009,188,22,5,424.2,210.17
2025-11-16,C006,6184,266,29,7,514.55,266.07
2025-11-17,C006,5097,137,19,3,125.19,177.93
2025-11-18,C006,4245,124,15,4,299.34,171.51
2025-11-19,C006,4214,153,18,4,224.8,200.64
2025-11-20,C006,5910,183,24,5,315.66,259.03
2025-11-21,C006,5887,190,29,6,416.77,259.19
2025-10-13,C007,5826,92,5,0,0.0,91.67
2025-10-14,C007,6416,90,6,0,0.0,87.2
2025-10-15,C007,5373,56,4,0,0.0,58.33
2025-10-16,C007,8257,121,9,1,85.13,109.75
2025-10-17,C007,7676,112,7,1,57.89,94.58
2025-10-18,C007,11557,124,12,1,58.88,136.53
2025-10-19,C007,8978,110,9,1,59.17,96.24
2025-10-20,C007,7786,82,5,0,0.0,79.5
2025-10-21,C007,9810,125,10,1,60.34,127.5
2025-10-22,C007,9363,107,8,1,66.79,121.13
2025-10-23,C007,4851,55,4,0,0.0,46.38
2025-10-24,C007,6230,105,12,1,65.88,94.83
2025-10-25,C007,6315,71,4,0,0.0,70.01
2025-10-26,C007,8817,144,11,1,56.69,132.12
2025-10-27,C007,3606,48,3,0,0.0,45.85
2025-10-28,C007,4883,73,6,0,0.0,76.44
2025-10-29,C007,9152,117,8,1,61.3,118.15
2025-10-30,C007,10554,150,13,2,99.01,116.73
2025-10-31,C007,11012,106,7,1,55.7,95.54
2025-11-01,C007,8823,105,8,1,64.86,108.84
2025-11-02,C007,11751,156,12,1,61.54,159.65
2025-11-03,C007,9703,116,9,1,61.28,134.52
2025-11-04,C007,9304,155,12,2,109.08,152.02
2025-11-05,C007,7319,107,9,1,73.86,100.68
2025-11-06,C007,13896,208,14,1,47.88,216.11
2025-11-07,C007,8450,116,10,1,46.31,112.67
2025-11-08,C007,11234,134,11,1,52.85,115.28
2025-11-09,C007,12719,197,18,3,116.49,173.33
2025-11-10,C007,5971,67,5,0,0.0,63.98
2025-11-11,C007,9509,147,11,2,123.53,113.64
2025-11-12,C007,3969,55,4,0,0.0,55.12
2025-11-13,C007,6475,74,5,0,0.0,69.03
2025-11-14,C007,7182,85,6,0,0.0,85.63
2025-11-15,C007,8952,115,9,1,53.88,117.89
2025-11-16,C007,12313,227,15,2,118.27,213.54
2025-11-17,C007,4192,59,4,0,0.0,49.89
2025-11-18,C007,7457,115,12,1,64.72,97.48
2025-11-19,C007,8035,93,6,0,0.0,80.38
2025-11-20,C007,8405,100,6,0,0.0,89.11
2025-11-21,C007,4351,60,5,0,0.0,60.85
2025-11-22,C007,6608,72,6,0,0.0,72.17
2025-11-23,C007,4171,59,4,0,0.0,59.46
2025-11-24,C007,3280,42,3,0,0.0,43.52
2025-11-25,C007,1527,16,1,0,0.0,17.08
2025-11-26,C007,7441,109,9,1,67.23,127.13
2025-09-13,C008,5673,214,35,9,609.18,86.04
2025-09-14,C008,15098,457,59,12,800.94,86.04
2025-09-15,C008,4364,162,21,5,370.99,86.04
2025-09-16,C008,9122,335,56,12,976.11,86.04
2025-09-17,C008,7863,385,51,11,1018.77,86.04
2025-09-18,C008,3120,119,11,2,153.02,86.04
2025-09-19,C008,4159,152,21,4,301.01,86.04
2025-09-20,C008,12035,485,82,17,741.02,86.04
2025-09-21,C008,7340,248,31,8,680.74,86.04
2025-09-22,C008,8173,296,34,5,381.11,86.04
2025-09-23,C008,12250,549,65,13,1054.42,86.04
2025-09-24,C008,11672,380,46,11,634.81,86.04
2025-09-25,C008,10736,351,31,7,445.58,86.04
2025-09-26,C008,7283,291,31,6,504.74,86.04
2025-09-27,C008,8573,360,50,7,591.14,86.04
2025-09-28,C008,7465,206,26,5,322.33,86.04
2025-09-29,C008,9441,347,43,8,396.94,86.04
2025-09-30,C008,3258,103,12,3,146.4,86.04
2025-10-01,C008,12302,372,47,11,435.15,86.04
2025-10-02,C008,10933,352,50,12,1262.18,86.04
2025-10-03,C008,11913,302,48,8,604.13,86.04
2025-10-04,C008,6426,236,37,7,525.26,86.04
2025-10-05,C008,10034,402,78,16,1075.53,86.04
2025-10-06,C008,8035,260,39,7,475.47,86.04
2025-10-07,C008,8081,189,18,3,163.7,86.04
2025-10-08,C008,6052,182,23,6,502.78,86.04
2025-10-09,C008,7243,268,40,7,521.78,86.04
2025-10-10,C008,10497,348,61,11,849.4,86.04
2025-10-11,C008,9588,342,53,14,1035.53,86.04
2025-10-12,C008,10922,329,53,15,1082.9,86.04
2025-10-13,C008,10682,411,59,14,1136.38,86.04
2025-10-14,C008,13468,501,79,16,1041.57,86.04
2025-10-15,C008,10920,390,49,10,952.53,86.04
2025-10-16,C008,6735,311,42,6,612.1,86.04
2025-10-17,C008,8114,339,43,11,902.27,86.04
2025-10-18,C008,10080,419,51,8,664.75,86.04
2025-10-19,C008,11913,392,61,13,868.28,86.04
2025-10-20,C008,6307,240,25,5,337.91,86.04
2025-10-21,C008,8281,180,28,7,672.38,86.04
2025-10-22,C008,11494,524,85,16,1231.68,86.04
2025-10-23,C008,7449,367,56,15,1150.61,86.04
2025-10-24,C008,7069,204,33,8,474.65,86.04
2025-10-25,C008,10293,390,62,13,1233.32,86.04
2025-10-26,C008,8129,395,59,14,702.78,86.04
2025-10-27,C008,10036,230,37,7,664.21,86.04
2025-10-28,C008,10655,312,37,7,603.7,86.04
2025-10-29,C008,7668,239,31,4,255.8,86.04
2025-10-30,C008,7115,323,40,7,677.27,86.04
2025-10-31,C008,7003,304,51,9,660.35,86.04
2025-11-01,C008,7703,269,44,11,760.4,86.04
2025-11-02,C008,8097,313,43,8,478.71,86.04
2025-11-03,C008,10334,328,47,14,816.91,86.04
2025-11-04,C008,6839,238,30,6,359.59,86.04
2025-11-05,C008,5823,178,23,3,203.24,86.04
2025-11-06,C008,6435,224,28,6,571.51,86.04
2025-11-07,C008,7120,265,45,10,477.53,86.04
2025-11-08,C008,8808,363,45,7,532.63,86.04
2025-11-09,C008,10221,234,26,4,292.25,86.04
2025-11-10,C008,9893,377,53,12,734.91,86.04
2025-11-11,C008,7071,300,43,9,719.32,86.04
2025-11-12,C008,6734,233,36,7,399.87,86.04
2025-11-13,C008,6831,246,39,7,536.2,86.04
2025-11-14,C008,5371,168,22,4,285.96,86.04
2025-11-15,C008,4462,119,20,4,294.48,86.04
2025-11-16,C008,6067,306,51,9,752.26,86.04
2025-11-17,C008,6114,258,41,8,572.25,86.04
2025-11-18,C008,5798,143,20,5,281.38,86.04
2025-11-19,C008,7426,300,37,6,396.62,86.04
2025-11-20,C008,4613,108,19,4,341.58,86.04
2025-11-21,C008,5881,199,26,7,575.59,86.04
2025-08-29,C009,5723,101,7,1,71.58,99.64
2025-08-30,C009,8473,117,8,1,76.46,109.94
2025-08-31,C009,6674,111,9,1,55.96,111.5
2025-09-01,C009,6395,105,9,1,48.9,100.83
2025-09-02,C009,4792,70,4,0,0.0,63.7
2025-09-03,C009,7063,89,5,0,0.0,91.68
2025-09-04,C009,6647,104,7,0,0.0,117.0
2025-09-05,C009,5597,113,7,1,70.45,96.66
2025-09-06,C009,9172,141,11,1,59.89,131.7
2025-09-07,C009,11589,183,13,1,52.3,163.06
2025-09-08,C009,10662,145,14,2,123.74,126.43
2025-09-09,C009,9292,133,10,1,41.67,134.35
2025-09-10,C009,12668,142,9,1,77.05,135.77
2025-09-11,C009,4735,58,3,0,0.0,42.74
2025-09-12,C009,5944,70,5,0,0.0,71.5
2025-09-13,C009,10715,158,13,1,54.31,145.11
2025-09-14,C009,9457,130,9,1,44.72,135.59
2025-09-15,C009,6637,106,7,0,0.0,95.29
2025-09-16,C009,8068,136,10,1,65.42,122.93
2025-09-17,C009,10381,86,7,1,77.6,96.66
2025-09-18,C009,9158,111,9,1,51.4,98.32
2025-09-19,C009,11392,167,10,1,50.2,172.45
2025-09-20,C009,14313,173,8,0,0.0,157.76
2025-09-21,C009,12808,220,17,2,114.88,194.63
2025-09-22,C009,11572,183,17,1,67.91,168.73
2025-09-23,C009,2969,33,2,0,0.0,37.47
2025-09-24,C009,7522,111,7,0,0.0,120.32
2025-09-25,C009,12367,172,15,2,117.27,153.86
2025-09-26,C009,9838,118,9,1,86.14,111.09
2025-09-27,C009,11536,169,10,1,61.48,186.01
2025-09-28,C009,13864,216,21,2,174.41,194.63
2025-09-29,C009,5539,110,9,1,73.74,111.69
2025-09-30,C009,6569,87,6,0,0.0,80.42
2025-10-01,C009,14485,189,14,1,70.65,169.37
2025-10-02,C009,9683,144,7,0,0.0,142.3
2025-10-03,C009,7150,100,8,0,0.0,97.59
2025-10-04,C009,10489,114,9,1,64.74,109.81
2025-10-05,C009,7226,99,9,1,48.5,89.42
2025-10-06,C009,7328,111,9,1,75.8,115.95
2025-10-07,C009,5370,74,5,0,0.0,66.96
2025-10-08,C009,6490,110,9,1,61.01,101.47
2025-10-09,C009,8014,120,12,1,69.14,116.37
2025-10-10,C009,7160,123,8,1,38.64,102.14
2025-10-11,C009,8387,93,7,0,0.0,94.88
2025-10-12,C009,5548,79,7,1,51.15,82.09
2025-10-13,C009,9286,103,9,1,82.76,103.64
2025-10-14,C009,5342,85,7,0,0.0,86.87
2025-10-15,C009,4766,56,4,0,0.0,57.35
2025-10-16,C009,8260,101,7,0,0.0,99.15
2025-10-17,C009,7925,121,10,1,58.5,119.7
2025-10-18,C009,7468,117,8,1,51.64,105.3
2025-10-19,C009,8352,139,12,2,113.53,172.08
2025-10-20,C009,6510,84,7,1,57.66,93.98
2025-10-21,C009,6785,79,6,0,0.0,69.22
2025-10-22,C009,7506,77,5,0,0.0,77.21
2025-10-23,C009,5430,80,5,0,0.0,66.97
2025-10-24,C009,7707,126,10,1,38.22,130.03
2025-06-15,C010,9752,187,14,1,58.32,167.93
2025-06-16,C010,5251,77,6,0,0.0,56.14
2025-06-17,C010,6784,96,8,1,50.3,79.92
2025-06-18,C010,7517,121,12,1,83.02,107.26
2025-06-19,C010,8080,153,15,2,137.12,129.25
2025-06-20,C010,6199,132,12,1,84.43,137.27
2025-06-21,C010,13404,244,16,1,71.47,195.12
2025-06-22,C010,7863,157,11,1,88.53,119.1
2025-06-23,C010,7676,151,15,2,160.73,113.57
2025-06-24,C010,7153,134,12,2,145.17,104.29
2025-06-25,C010,8191,152,16,2,97.78,141.68
2025-06-26,C010,8431,134,15,2,126.82,115.12
2025-06-27,C010,7727,179,14,2,61.22,151.56
2025-06-28,C010,7361,158,13,2,125.74,108.56
2025-06-29,C010,10308,115,9,1,91.71,105.26
2025-06-30,C010,10443,162,16,2,165.19,132.11
2025-07-01,C010,7114,134,11,1,60.07,120.97
2025-07-02,C010,8980,148,13,2,192.08,137.62
2025-07-03,C010,17140,337,32,5,271.39,273.73
2025-07-04,C010,9605,167,15,2,159.48,139.65
2025-07-05,C010,12043,246,16,2,140.5,225.39
2025-07-06,C010,12277,244,22,3,193.34,207.79
2025-07-07,C010,4831,80,7,1,64.64,71.32
2025-07-08,C010,4641,78,7,1,78.64,56.57
2025-07-09,C010,9002,167,16,2,137.77,147.92
2025-07-10,C010,7564,127,6,0,0.0,96.94
2025-07-11,C010,8477,90,8,1,74.61,66.69
2025-07-12,C010,8899,168,15,2,94.21,121.71
2025-07-13,C010,8688,139,13,1,54.88,114.86
2025-07-14,C010,8866,213,17,2,147.59,180.63
2025-07-15,C010,4586,74,5,0,0.0,56.31
2025-07-16,C010,9464,142,12,1,61.28,125.52
2025-07-17,C010,6867,147,10,1,77.65,145.83
2025-07-18,C010,7787,84,5,0,0.0,63.5
2025-07-19,C010,8677,182,16,3,204.33,152.92
2025-07-20,C010,7043,190,18,3,225.42,191.82
2025-07-21,C010,4655,104,8,1,50.6,93.05
2025-07-22,C010,6471,110,12,2,137.27,94.1
2025-07-23,C010,8141,137,11,2,121.36,116.01
2025-07-24,C010,6235,151,15,2,112.99,131.38
2025-07-25,C010,5378,110,10,1,50.12,80.59
2025-07-26,C010,11505,257,16,3,242.21,184.69
2025-07-27,C010,8621,170,12,2,77.86,141.28
2025-07-28,C010,6842,112,11,2,171.63,103.52
2025-07-29,C010,7793,146,13,2,103.02,112.24
2025-01-16,C011,7366,417,82,26,1928.36,61.1
2025-01-17,C011,7330,408,89,20,1259.41,71.29
2025-01-18,C011,9173,453,76,22,967.89,63.7
2025-01-19,C011,10481,445,94,26,1589.99,71.13
2025-01-20,C011,6912,293,44,10,801.32,45.64
2025-01-21,C011,3972,175,43,11,846.4,27.17
2025-01-22,C011,5443,286,54,17,868.14,43.66
2025-01-23,C011,7748,374,71,17,1369.98,61.98
2025-01-24,C011,8072,314,51,16,643.36,51.47
2025-01-25,C011,8327,402,87,21,1464.88,60.98
2025-01-26,C011,7442,418,104,32,1487.29,65.78
2025-01-27,C011,10413,534,112,31,1660.92,64.9
2025-01-28,C011,8813,436,69,21,1807.37,65.91
2025-01-29,C011,8727,536,90,25,1281.1,76.0
2025-01-30,C011,10901,649,138,36,3290.81,93.19
2025-01-31,C011,4389,247,56,21,925.0,42.45
2025-02-01,C011,11660,369,90,28,1694.71,58.92
2025-02-02,C011,7597,313,45,14,1057.52,43.66
2025-02-03,C011,8329,396,71,17,1255.2,59.02
2025-02-04,C011,10839,406,96,29,2026.17,68.15
2025-02-05,C011,7769,338,54,14,1082.25,51.9
2025-02-06,C011,4559,266,52,13,749.54,34.01
2025-02-07,C011,9365,525,105,35,2244.61,85.47
2025-02-08,C011,12848,614,118,42,2097.29,92.14
2025-02-09,C011,11388,472,98,26,1084.2,70.87
2025-02-10,C011,4499,207,44,13,882.95,25.05
2025-02-11,C011,11006,401,87,21,1301.41,56.34
2025-02-12,C011,9649,399,67,19,877.89,62.41
2025-02-13,C011,15081,766,151,29,1301.18,129.64
2025-02-14,C011,6376,278,46,10,603.84,37.98
2025-02-15,C011,7094,349,67,18,1229.09,51.61
2025-02-16,C011,10217,515,100,28,1440.94,70.6
2025-02-17,C011,9831,478,99,27,1876.4,78.4
2025-02-18,C011,8647,486,100,30,1933.24,74.7
2025-02-19,C011,8401,571,107,30,1666.69,81.47
2025-02-20,C011,7665,315,47,11,441.73,50.24
2025-02-21,C011,9260,291,66,16,1229.63,42.42
2025-02-22,C011,7612,389,75,19,1112.91,50.93
2025-02-23,C011,4995,206,45,13,886.62,30.7
2025-02-24,C011,10116,491,111,34,1891.71,63.75
2025-02-25,C011,8465,455,78,18,1198.99,67.76
2025-02-26,C011,5899,176,30,10,832.64,23.19
2025-02-27,C011,6655,395,73,18,1438.1,57.03
2025-02-28,C011,4673,203,30,7,498.67,30.3
2025-03-01,C011,5968,257,53,17,492.54,35.34
2025-03-02,C011,7410,357,74,19,1036.88,52.24
2025-03-03,C011,5936,264,54,18,1032.05,43.4
2025-03-04,C011,7037,304,57,15,1071.33,46.65
2025-03-05,C011,4548,169,44,11,567.03,28.98
2025-03-06,C011,7051,309,58,15,661.96,45.94
2025-03-07,C011,8797,401,52,14,1321.91,65.36
